0x20000,𠀀,4
0x20001,𠀁,13
0x20002,𠀂,2
0x20003,𠀃,69
0x20004,𠀄,1
0x20005,𠀅,2
0x20006,𠀆,7
0x20007,𠀇,73
0x20008,𠀈,1
0x20009,𠀉,848
0x2000a,𠀊,12
0x2000b,𠀋,2048
0x2000c,𠀌,1682
0x2000d,𠀍,2502
0x2000e,𠀎,6
0x20010,𠀐,3
0x20011,𠀑,8
0x20012,𠀒,63
0x20013,𠀓,2
0x20014,𠀔,29
0x20015,𠀕,65
0x20016,𠀖,2
0x20018,𠀘,110
0x20019,𠀙,7
0x2001a,𠀚,158
0x2001e,𠀞,1
0x2001f,𠀟,7
0x20020,𠀠,1
0x20021,𠀡,44
0x20024,𠀤,166
0x20025,𠀥,1
0x20026,𠀦,1
0x2002a,𠀪,16
0x2002b,𠀫,7
0x2002c,𠀬,99
0x2002d,𠀭,8
0x20030,𠀰,1
0x20031,𠀱,1
0x20033,𠀳,1
0x20037,𠀷,1
0x20039,𠀹,1
0x2003b,𠀻,3
0x2003c,𠀼,16
0x2003d,𠀽,2
0x20041,𠁁,7
0x20042,𠁂,1
0x20043,𠁃,3
0x20045,𠁅,20999
0x20048,𠁈,4
0x2004a,𠁊,2491
0x20050,𠁐,1
0x20055,𠁕,5
0x20057,𠁗,299
0x20058,𠁘,2
0x2005c,𠁜,1
0x2005e,𠁞,1
0x20061,𠁡,2
0x20062,𠁢,1
0x20063,𠁣,2
0x20064,𠁤,14
0x20065,𠁥,6
0x20066,𠁦,11
0x20067,𠁧,4
0x20069,𠁩,2
0x2006b,𠁫,1
0x2006c,𠁬,2
0x2006d,𠁭,124
0x20070,𠁰,1
0x20071,𠁱,2
0x20072,𠁲,1
0x20073,𠁳,26
0x20074,𠁴,1
0x20079,𠁹,1
0x2007b,𠁻,1
0x2007c,𠁼,20
0x2007d,𠁽,73
0x2007e,𠁾,2
0x2007f,𠁿,3
0x20080,𠂀,1265
0x20081,𠂁,3
0x20082,𠂂,1
0x20085,𠂅,33
0x20086,𠂆,14
0x20087,𠂇,84
0x20088,𠂈,8
0x20089,𠂉,4
0x2008a,𠂊,9
0x2008b,𠂋,17
0x2008c,𠂌,132
0x2008d,𠂍,5
0x2008e,𠂎,2
0x20090,𠂐,1
0x20092,𠂒,19
0x20093,𠂓,1
0x20094,𠂔,87
0x20095,𠂕,18
0x20096,𠂖,7
0x20099,𠂙,3
0x2009b,𠂛,3
0x2009c,𠂜,2
0x2009d,𠂝,19
0x2009e,𠂞,441
0x200a0,𠂠,6
0x200a1,𠂡,6
0x200a2,𠂢,1017
0x200a3,𠂣,5
0x200a4,𠂤,481
0x200a5,𠂥,4
0x200a6,𠂦,23
0x200a8,𠂨,2
0x200a9,𠂩,12
0x200ab,𠂫,1
0x200ac,𠂬,8
0x200ad,𠂭,12
0x200ae,𠂮,1
0x200af,𠂯,1676
0x200b0,𠂰,72
0x200b1,𠂱,1
0x200b5,𠂵,8
0x200b6,𠂶,513
0x200b7,𠂷,64
0x200b9,𠂹,410
0x200ba,𠂺,1
0x200bb,𠂻,8255
0x200bc,𠂼,2
0x200bd,𠂽,496
0x200be,𠂾,6
0x200bf,𠂿,4
0x200c0,𠃀,1
0x200c1,𠃁,4
0x200c2,𠃂,2
0x200c5,𠃅,1
0x200c9,𠃉,36
0x200ca,𠃊,69
0x200cb,𠃋,9
0x200cc,𠃌,53
0x200cd,𠃍,15
0x200ce,𠃎,18
0x200cf,𠃏,3
0x200d1,𠃑,6
0x200d3,𠃓,9
0x200d4,𠃔,5836
0x200d5,𠃕,3
0x200d6,𠃖,2
0x200da,𠃚,1
0x200db,𠃛,2
0x200dc,𠃜,28
0x200df,𠃟,6
0x200e0,𠃠,4
0x200e2,𠃢,14
0x200e4,𠃤,6
0x200e6,𠃦,1
0x200e7,𠃧,16
0x200e8,𠃨,27
0x200ec,𠃬,13
0x200ed,𠃭,1
0x200f2,𠃲,1
0x200f3,𠃳,2
0x200f4,𠃴,2
0x200f5,𠃵,662
0x200f6,𠃶,126
0x200f8,𠃸,5
0x200f9,𠃹,12
0x200fd,𠃽,1
0x200fe,𠃾,6
0x200ff,𠃿,6
0x20101,𠄁,11
0x20103,𠄃,1
0x20105,𠄅,2
0x20108,𠄈,1
0x20109,𠄉,3
0x2010a,𠄊,2
0x2010c,𠄌,20
0x2010d,𠄍,5
0x2010e,𠄎,13
0x2010f,𠄏,4
0x20110,𠄐,7
0x20112,𠄒,9
0x20113,𠄓,1
0x20114,𠄔,3
0x20115,𠄕,7
0x20116,𠄖,3
0x20117,𠄗,2
0x20118,𠄘,51
0x20119,𠄙,36
0x2011d,𠄝,5
0x2011e,𠄞,1362
0x2011f,𠄟,61
0x20120,𠄠,111
0x20121,𠄡,1257
0x20122,𠄢,9
0x20125,𠄥,2
0x20128,𠄨,5
0x2012b,𠄫,11
0x2012c,𠄬,12
0x2012d,𠄭,3
0x20130,𠄰,2
0x20131,𠄱,1
0x20134,𠄴,1
0x20135,𠄵,2
0x20138,𠄸,3
0x20139,𠄹,5
0x2013e,𠄾,1
0x2013f,𠄿,1
0x20140,𠅀,5
0x20141,𠅁,4
0x20143,𠅃,30
0x20145,𠅅,54
0x20146,𠅆,176
0x20147,𠅇,11
0x20148,𠅈,1
0x20149,𠅉,1
0x2014a,𠅊,15
0x2014b,𠅋,7
0x2014c,𠅌,2
0x2014d,𠅍,1
0x2014f,𠅏,1
0x20153,𠅓,1
0x20154,𠅔,2
0x20156,𠅖,5
0x20157,𠅗,1
0x20158,𠅘,4040
0x20159,𠅙,183
0x2015a,𠅚,1
0x2015c,𠅜,1
0x2015d,𠅝,1
0x2015e,𠅞,4
0x2015f,𠅟,4
0x20160,𠅠,3
0x20162,𠅢,487
0x20163,𠅣,2
0x20164,𠅤,168
0x20165,𠅥,29
0x20168,𠅨,7
0x20169,𠅩,451
0x2016c,𠅬,4
0x2016d,𠅭,2
0x2016f,𠅯,1
0x20170,𠅰,6
0x20171,𠅱,1
0x20172,𠅲,12
0x20175,𠅵,2
0x20176,𠅶,1
0x20178,𠅸,1
0x2017e,𠅾,3
0x2017f,𠅿,5
0x20180,𠆀,1
0x20181,𠆁,1
0x20182,𠆂,2
0x20185,𠆅,3
0x20186,𠆆,3
0x20187,𠆇,2
0x20188,𠆈,3
0x20189,𠆉,4
0x2018b,𠆋,1
0x2018e,𠆎,1
0x20190,𠆐,1
0x20191,𠆑,1
0x20192,𠆒,2
0x20193,𠆓,1
0x20194,𠆔,3
0x20197,𠆗,2
0x20199,𠆙,1
0x2019c,𠆜,2
0x2019f,𠆟,1
0x201a1,𠆡,16
0x201a2,𠆢,18
0x201a3,𠆣,65
0x201a4,𠆤,14
0x201a5,𠆥,4
0x201a6,𠆦,18
0x201a7,𠆧,10
0x201a8,𠆨,4
0x201a9,𠆩,6775
0x201ab,𠆫,4
0x201ac,𠆬,2
0x201ad,𠆭,4
0x201af,𠆯,3
0x201b0,𠆰,1
0x201b2,𠆲,7
0x201b3,𠆳,7
