decimalism,hexadecimal,kanji
131307,0x200eb,𠃫
131308,0x200ec,𠃬
131309,0x200ed,𠃭
131310,0x200ee,𠃮
131311,0x200ef,𠃯
131312,0x200f0,𠃰
131313,0x200f1,𠃱
131314,0x200f2,𠃲
131315,0x200f3,𠃳
131316,0x200f4,𠃴
131317,0x200f5,𠃵
131318,0x200f6,𠃶
131319,0x200f7,𠃷
131320,0x200f8,𠃸
131321,0x200f9,𠃹
131322,0x200fa,𠃺
131323,0x200fb,𠃻
131324,0x200fc,𠃼
131325,0x200fd,𠃽
131326,0x200fe,𠃾
131327,0x200ff,𠃿
131328,0x20100,𠄀
131329,0x20101,𠄁
131330,0x20102,𠄂
131331,0x20103,𠄃
131332,0x20104,𠄄
131333,0x20105,𠄅
131334,0x20106,𠄆
131335,0x20107,𠄇
131336,0x20108,𠄈
131337,0x20109,𠄉
131338,0x2010a,𠄊
131339,0x2010b,𠄋
131340,0x2010c,𠄌
131341,0x2010d,𠄍
131342,0x2010e,𠄎
131343,0x2010f,𠄏
131344,0x20110,𠄐
131345,0x20111,𠄑
131346,0x20112,𠄒
131347,0x20113,𠄓
131348,0x20114,𠄔
131349,0x20115,𠄕
131350,0x20116,𠄖
131351,0x20117,𠄗
131352,0x20118,𠄘
131353,0x20119,𠄙
131354,0x2011a,𠄚
131355,0x2011b,𠄛
131356,0x2011c,𠄜
131357,0x2011d,𠄝
131358,0x2011e,𠄞
131359,0x2011f,𠄟
131360,0x20120,𠄠
131361,0x20121,𠄡
131362,0x20122,𠄢
131363,0x20123,𠄣
131364,0x20124,𠄤
131365,0x20125,𠄥
131366,0x20126,𠄦
131367,0x20127,𠄧
131368,0x20128,𠄨
131369,0x20129,𠄩
131370,0x2012a,𠄪
131371,0x2012b,𠄫
131372,0x2012c,𠄬
131373,0x2012d,𠄭
131374,0x2012e,𠄮
131375,0x2012f,𠄯
131376,0x20130,𠄰
131377,0x20131,𠄱
131378,0x20132,𠄲
131379,0x20133,𠄳
131380,0x20134,𠄴
131381,0x20135,𠄵
131382,0x20136,𠄶
131383,0x20137,𠄷
131384,0x20138,𠄸
131385,0x20139,𠄹
131386,0x2013a,𠄺
131387,0x2013b,𠄻
131388,0x2013c,𠄼
131389,0x2013d,𠄽
131390,0x2013e,𠄾
131391,0x2013f,𠄿
131392,0x20140,𠅀
131393,0x20141,𠅁
131394,0x20142,𠅂
131395,0x20143,𠅃
131396,0x20144,𠅄
131397,0x20145,𠅅
131398,0x20146,𠅆
131399,0x20147,𠅇
131400,0x20148,𠅈
131401,0x20149,𠅉
131402,0x2014a,𠅊
131403,0x2014b,𠅋
131404,0x2014c,𠅌
131405,0x2014d,𠅍
131406,0x2014e,𠅎
131407,0x2014f,𠅏
131408,0x20150,𠅐
131409,0x20151,𠅑
131410,0x20152,𠅒
131411,0x20153,𠅓
131412,0x20154,𠅔
131413,0x20155,𠅕
131414,0x20156,𠅖
131415,0x20157,𠅗
131416,0x20158,𠅘
131417,0x20159,𠅙
131418,0x2015a,𠅚
131419,0x2015b,𠅛
131420,0x2015c,𠅜
131421,0x2015d,𠅝
131422,0x2015e,𠅞
131423,0x2015f,𠅟
131424,0x20160,𠅠
131425,0x20161,𠅡
131426,0x20162,𠅢
131427,0x20163,𠅣
131428,0x20164,𠅤
131429,0x20165,𠅥
131430,0x20166,𠅦
131431,0x20167,𠅧
131432,0x20168,𠅨
131433,0x20169,𠅩
131434,0x2016a,𠅪
131435,0x2016b,𠅫
131436,0x2016c,𠅬
131437,0x2016d,𠅭
131438,0x2016e,𠅮
131439,0x2016f,𠅯
131440,0x20170,𠅰
131441,0x20171,𠅱
131442,0x20172,𠅲
131443,0x20173,𠅳
131444,0x20174,𠅴
131445,0x20175,𠅵
131446,0x20176,𠅶
131447,0x20177,𠅷
131448,0x20178,𠅸
131449,0x20179,𠅹
131450,0x2017a,𠅺
131451,0x2017b,𠅻
131452,0x2017c,𠅼
131453,0x2017d,𠅽
131454,0x2017e,𠅾
131455,0x2017f,𠅿
131456,0x20180,𠆀
131457,0x20181,𠆁
131458,0x20182,𠆂
131459,0x20183,𠆃
131460,0x20184,𠆄
131461,0x20185,𠆅
131462,0x20186,𠆆
131463,0x20187,𠆇
131464,0x20188,𠆈
131465,0x20189,𠆉
131466,0x2018a,𠆊
131467,0x2018b,𠆋
131468,0x2018c,𠆌
131469,0x2018d,𠆍
131470,0x2018e,𠆎
131471,0x2018f,𠆏
131472,0x20190,𠆐
131473,0x20191,𠆑
131474,0x20192,𠆒
131475,0x20193,𠆓
131476,0x20194,𠆔
131477,0x20195,𠆕
131478,0x20196,𠆖
131479,0x20197,𠆗
131480,0x20198,𠆘
131481,0x20199,𠆙
131482,0x2019a,𠆚
131483,0x2019b,𠆛
131484,0x2019c,𠆜
131485,0x2019d,𠆝
131486,0x2019e,𠆞
131487,0x2019f,𠆟
131488,0x201a0,𠆠
131489,0x201a1,𠆡
131490,0x201a2,𠆢
131491,0x201a3,𠆣
131492,0x201a4,𠆤
131493,0x201a5,𠆥
131494,0x201a6,𠆦
131495,0x201a7,𠆧
131496,0x201a8,𠆨
131497,0x201a9,𠆩
131498,0x201aa,𠆪
131499,0x201ab,𠆫
131500,0x201ac,𠆬
131501,0x201ad,𠆭
131502,0x201ae,𠆮
131503,0x201af,𠆯
131504,0x201b0,𠆰
131505,0x201b1,𠆱
131506,0x201b2,𠆲
131507,0x201b3,𠆳
131508,0x201b4,𠆴
131509,0x201b5,𠆵
131510,0x201b6,𠆶
131511,0x201b7,𠆷
131512,0x201b8,𠆸
131513,0x201b9,𠆹
131514,0x201ba,𠆺
131515,0x201bb,𠆻
131516,0x201bc,𠆼
131517,0x201bd,𠆽
131518,0x201be,𠆾
131519,0x201bf,𠆿
131520,0x201c0,𠇀
131521,0x201c1,𠇁
131522,0x201c2,𠇂
131523,0x201c3,𠇃
131524,0x201c4,𠇄
131525,0x201c5,𠇅
131526,0x201c6,𠇆
131527,0x201c7,𠇇
131528,0x201c8,𠇈
131529,0x201c9,𠇉
131530,0x201ca,𠇊
131531,0x201cb,𠇋
131532,0x201cc,𠇌
131533,0x201cd,𠇍
131534,0x201ce,𠇎
131535,0x201cf,𠇏
131536,0x201d0,𠇐
131537,0x201d1,𠇑
131538,0x201d2,𠇒
131539,0x201d3,𠇓
131540,0x201d4,𠇔
131541,0x201d5,𠇕
131542,0x201d6,𠇖
131543,0x201d7,𠇗
131544,0x201d8,𠇘
131545,0x201d9,𠇙
131546,0x201da,𠇚
131547,0x201db,𠇛
131548,0x201dc,𠇜
131549,0x201dd,𠇝
131550,0x201de,𠇞
131551,0x201df,𠇟
131552,0x201e0,𠇠
131553,0x201e1,𠇡
131554,0x201e2,𠇢
131555,0x201e3,𠇣
131556,0x201e4,𠇤
131557,0x201e5,𠇥
131558,0x201e6,𠇦
131559,0x201e7,𠇧
131560,0x201e8,𠇨
131561,0x201e9,𠇩
131562,0x201ea,𠇪
131563,0x201eb,𠇫
131564,0x201ec,𠇬
131565,0x201ed,𠇭
131566,0x201ee,𠇮
131567,0x201ef,𠇯
131568,0x201f0,𠇰
131569,0x201f1,𠇱
131570,0x201f2,𠇲
131571,0x201f3,𠇳
131572,0x201f4,𠇴
131573,0x201f5,𠇵
131574,0x201f6,𠇶
131575,0x201f7,𠇷
131576,0x201f8,𠇸
131577,0x201f9,𠇹
131578,0x201fa,𠇺
131579,0x201fb,𠇻
131580,0x201fc,𠇼
131581,0x201fd,𠇽
131582,0x201fe,𠇾
131583,0x201ff,𠇿
131584,0x20200,𠈀
131585,0x20201,𠈁
131586,0x20202,𠈂
131587,0x20203,𠈃
131588,0x20204,𠈄
131589,0x20205,𠈅
131590,0x20206,𠈆
131591,0x20207,𠈇
131592,0x20208,𠈈
131593,0x20209,𠈉
131594,0x2020a,𠈊
131595,0x2020b,𠈋
131596,0x2020c,𠈌
131597,0x2020d,𠈍
131598,0x2020e,𠈎
131599,0x2020f,𠈏
131600,0x20210,𠈐
131601,0x20211,𠈑
131602,0x20212,𠈒
131603,0x20213,𠈓
131604,0x20214,𠈔
131605,0x20215,𠈕
131606,0x20216,𠈖
131607,0x20217,𠈗
131608,0x20218,𠈘
131609,0x20219,𠈙
131610,0x2021a,𠈚
131611,0x2021b,𠈛
131612,0x2021c,𠈜
131613,0x2021d,𠈝
131614,0x2021e,𠈞
